id;name;state_id
1;Aba North;1
2;Aba South;1
3;Arochukwu;1
4;Bende;1
5;Ikwuano;1
6;Isiala-Ngwa North;1
7;Isiala-Ngwa South;1
8;Isuikwuato;1
9;Obi Ngwa;1
10;Ohafia;1
11;Osisioma Ngwa;1
12;Ugwunagbo;1
13;Ukwa East;1
14;Ukwa West;1
15;Umuahia North;1
16;Umuahia South;1
17;Umu-Nneochi;1
18;Demsa;2
19;Fufore;2
20;Ganye;2
21;Girei;2
22;Gombi;2
23;Guyuk;2
24;Hong;2
25;Jada;2
26;Lamurde;2
27;Madagali;2
28;Maiha;2
29;Mayo-Belwa;2
30;Michika;2
31;Mubi North;2
32;Mubi South;2
33;Numan;2
34;Shelleng;2
35;Song;2
36;Toungo;2
37;Yola North;2
38;Yola South;2
39;Abak;3
40;Eastern Obolo;3
41;Eket;3
42;Esit Eket;3
43;Essien Udim;3
44;Etim Ekpo;3
45;Etinan;3
46;Ibeno;3
47;Ibesikpo Asutan;3
48;Ibiono Ibom;3
49;Ika;3
50;Ikono;3
51;Ikot Abasi;3
52;Ikot Ekpene;3
53;Ini;3
54;Itu;3
55;Mbo;3
56;Mkpat Enin;3
57;Nsit Atai;3
58;Nsit Ibom;3
59;Nsit Ubium;3
60;Obot Akara;3
61;Okobo;3
62;Onna;3
63;Oron;3
64;Oruk Anam;3
65;Udung Uko;3
66;Ukanafun;3
67;Uruan;3
68;Urue-Offong/Oruko;3
69;Uyo;3
70;Aguata;4
71;Anambra East;4
72;Anambra West;4
73;Anaocha;4
74;Awka North;4
75;Awka South;4
76;Ayamelum;4
77;Dunukofia;4
78;Ekwusigo;4
79;Idemili North;4
80;Idemili South;4
81;Ihiala;4
82;Njikoka;4
83;Nnewi North;4
84;Nnewi South;4
85;Ogbaru;4
86;Onitsha North;4
87;Onitsha South;4
88;Orumba North;4
89;Orumba South;4
90;Oyi;4
91;Alkaleri;5
92;Bauchi;5
93;Bogoro;5
94;Damban;5
95;Darazo;5
96;Dass;5
97;Gamawa;5
98;Ganjuwa;5
99;Giade;5
100;Itas/Gadau;5
101;Jama''are;5
102;Katagum;5
103;Kirfi;5
104;Misau;5
105;Ningi;5
106;Shira;5
107;Tafawa-Balewa;5
108;Toro;5
109;Warji;5
110;Zaki;5
111;Brass;6
112;Ekeremor;6
113;Kolokuma/Opokuma;6
114;Nembe;6
115;Ogbia;6
116;Sagbama;6
117;Southern Ijaw;6
118;Yenegoa;6
